source/a/upload/ :文件夹视频转码服务开启...
source/b/upload/ :文件夹视频转码服务开启...
source/x/upload/ :文件夹视频转码服务开启...
20165519596684.mp4：视频转码完成进度: 42%
20165519591336vv4562.mp4：视频转码完成进度: 54%
2016551959w6684.mp4：视频转码完成进度: 43%
20165519594554vq86614.mp4：视频转码完成进度: 37%
20165519596684.mp4：视频转码完成进度: 42%
20165519594554vq86614.mp4：视频转码完成进度: 36%
2016551959w6684.mp4：视频转码完成进度: 43%
20165519591336vv4562.mp4：视频转码完成进度: 55%
20165519591336vv4562.mp4：视频转码完成进度: 56%
2016551959w6684.mp4：视频转码完成进度: 44%
20165519596684.mp4：视频转码完成进度: 42%
20165519594554vq86614.mp4：视频转码完成进度: 38%
20165519596684.mp4：视频转码完成进度: 44%
20165519594554vq86614.mp4：视频转码完成进度: 36%
20165519591336vv4562.mp4：视频转码完成进度: 56%
20165519591336vv4562.mp4：视频转码完成进度: 56%
2016551959w6684.mp4：视频转码完成进度: 45%
2016551959w6684.mp4：视频转码完成进度: 45%
20165519594554vq86614.mp4：视频转码完成进度: 39%
20165519596684.mp4：视频转码完成进度: 45%
20165519596684.mp4：视频转码完成进度: 44%
20165519594554vq86614.mp4：视频转码完成进度: 37%
20165519591336vv4562.mp4：视频转码完成进度: 57%
20165519591336vv4562.mp4：视频转码完成进度: 57%
20165519594554vq86614.mp4：视频转码完成进度: 39%
2016551959w6684.mp4：视频转码完成进度: 45%
2016551959w6684.mp4：视频转码完成进度: 45%
20165519596684.mp4：视频转码完成进度: 44%
20165519596684.mp4：视频转码完成进度: 45%
20165519591336vv4562.mp4：视频转码完成进度: 58%
20165519594554vq86614.mp4：视频转码完成进度: 38%
2016551959w6684.mp4：视频转码完成进度: 46%
20165519596684.mp4：视频转码完成进度: 45%
20165519594554vq86614.mp4：视频转码完成进度: 40%
2016551959w6684.mp4：视频转码完成进度: 46%
20165519596684.mp4：视频转码完成进度: 46%
20165519591336vv4562.mp4：视频转码完成进度: 58%
20165519591336vv4562.mp4：视频转码完成进度: 59%
2016551959w6684.mp4：视频转码完成进度: 47%
20165519594554vq86614.mp4：视频转码完成进度: 41%
20165519591336vv4562.mp4：视频转码完成进度: 59%
2016551959w6684.mp4：视频转码完成进度: 47%
20165519594554vq86614.mp4：视频转码完成进度: 39%
20165519596684.mp4：视频转码完成进度: 45%
20165519596684.mp4：视频转码完成进度: 47%
20165519591336vv4562.mp4：视频转码完成进度: 60%
20165519594554vq86614.mp4：视频转码完成进度: 42%
2016551959w6684.mp4：视频转码完成进度: 48%
20165519594554vq86614.mp4：视频转码完成进度: 39%
20165519591336vv4562.mp4：视频转码完成进度: 60%
2016551959w6684.mp4：视频转码完成进度: 48%
20165519591336vv4562.mp4：视频转码完成进度: 61%
20165519596684.mp4：视频转码完成进度: 47%
20165519596684.mp4：视频转码完成进度: 48%
20165519591336vv4562.mp4：视频转码完成进度: 60%
